Sodium,Aluminium,Silicon,Calcium,Class
13.64,1.1,71.78,8.75,1
13.89,1.36,72.73,7.83,1
13.53,1.54,72.99,7.78,1
13.21,1.29,72.61,8.22,1
13.27,1.24,73.08,8.07,1
12.79,1.62,72.97,8.07,1
13.3,1.14,73.09,8.17,1
13.15,1.05,73.24,8.24,1
14.04,1.37,72.08,8.3,1
13,1.36,72.99,8.4,1
12.72,1.56,73.2,8.09,1
12.8,1.27,73.01,8.56,1
12.88,1.4,73.28,8.05,1
12.86,1.27,73.21,8.38,1
12.61,1.31,73.29,8.5,1
12.81,1.23,73.24,8.39,1
12.68,1.16,73.11,8.7,1
14.36,0.89,71.36,9.15,1
13.9,1.18,72.12,8.89,1
13.02,1.69,72.73,8.44,1
12.82,1.49,72.75,8.52,1
14.77,0.29,72.02,9,1
12.78,1.29,72.79,8.7,1
12.81,1.35,73.02,8.59,1
13.38,1.15,72.85,8.43,1
12.98,1.21,73,8.53,1
13.21,1.41,72.64,8.43,1
12.87,1.33,73.04,8.43,1
12.56,1.43,73.15,8.54,1
13.08,1.28,72.86,8.49,1
12.65,1.3,73.08,8.69,1
12.84,1.14,73.27,8.55,1
12.85,1.23,72.97,8.56,1
12.57,1.38,73.39,8.55,1
12.69,1.34,72.95,8.75,1
13.29,1.21,72.74,8.57,1
13.89,1.32,71.81,8.78,1
12.74,1.35,72.96,8.68,1
14.21,0.47,71.77,9.57,1
14.21,0.47,71.77,9.57,1
12.79,1.12,73.03,8.77,1
12.71,1.2,73.2,8.64,1
13.21,1.33,72.76,8.59,1
13.73,0.72,71.76,9.74,1
12.73,1.19,72.95,8.76,1
13.49,1.35,71.95,9,1
13.19,1.18,72.72,8.83,1
13.99,0.71,71.57,9.82,1
13.21,0.79,71.99,10.02,1
13.58,1.23,72.08,8.91,1
13.72,0.51,71.75,10.06,1
13.2,1.28,72.36,9.14,1
13.43,1.19,72.84,9.03,1
13.14,1.28,72.85,9.07,1
13.21,1.29,72.98,9.02,1
12.45,1.29,73.7,9.06,1
12.99,1.12,72.98,8.35,1
12.87,1.29,72.95,8.43,1
13.48,1.17,72.99,8.03,1
13.39,1.19,72.79,8.27,1
13.6,1.11,72.64,8.76,1
13.81,1.32,71.72,8.67,1
13.51,0.88,71.79,9.54,1
14.17,0.78,71.35,9.69,1
13.48,0.9,72.01,9.61,1
13.69,1.12,71.96,9.4,1
13.05,0.87,72.22,9.85,1
13.05,0.87,72.32,9.85,1
13.12,0.9,72.2,9.82,1
13.31,0.82,71.99,10.17,1
14.86,1.74,71.87,7.36,1
13.64,1.27,71.96,8.32,1
13.09,1.52,73.1,7.83,1
13.34,1.57,72.87,7.89,1
13.02,1.54,73.11,7.9,1
13.02,1.51,73.12,7.96,1
13.44,1.54,72.39,8.03,1
13,1.54,72.83,8.04,1
13.92,1.25,72.88,7.94,1
12.82,1.9,72.86,7.97,1
12.86,2.12,72.66,7.97,1
13.25,1.43,73.17,7.86,1
13.41,1.25,72.81,8.1,1
13.09,1.55,72.87,8.05,1
14.25,2.08,72.28,7.08,1
13.36,1.49,72.72,8.21,1
13.24,1.47,73.25,8.03,1
13.4,1.52,72.65,8.08,1
13.01,1.48,72.89,8.12,1
12.55,1.87,73.23,8.08,1
12.93,1.11,72.28,8.96,1
12.9,1.45,73.06,8.27,1
13.12,1.58,73.26,8.39,1
13.24,1.47,73.1,8.22,1
12.71,1.49,73.28,8.24,1
13.36,1.43,72.26,8.6,1
13.02,1.06,72.34,9.13,1
12.2,1.16,73.55,8.9,1
12.67,1.71,73.21,8.54,1
12.96,1.43,72.92,8.79,1
12.75,1.44,73.27,8.79,1
12.35,1.63,72.87,9.23,1
12.62,0.83,73.81,9.42,1
13.8,0.66,70.57,11.64,1
13.83,1.17,71.15,10.79,1
11.45,1.88,72.19,13.24,1
10.73,2.1,69.81,13.3,1
12.3,1,70.16,16.19,1
14.43,1,72.67,11.52,1
13.72,0.56,74.45,10.99,1
11.23,0.77,73.21,14.68,1
11.02,0.75,73.08,14.96,1
12.64,0.67,72.02,14.4,1
13.46,1.26,72.55,8.21,1
13.1,1.19,72.44,8.43,1
13.41,1.33,72.38,8.28,1
13.24,1.41,72.33,8.31,1
13.72,1.81,72.06,7.88,1
13.3,1.53,72.53,8.03,1
13.56,1.47,72.45,7.96,1
13.25,1.32,72.4,8.42,1
12.93,1.62,72.96,8.03,1
13.23,1.48,72.84,8.1,1
13.48,1.71,72.52,7.99,1
13.2,1.15,72.75,8.52,1
12.93,1.56,72.51,8.55,1
12.94,1.26,72.75,8.6,1
13.78,1.43,71.99,9.85,1
13.55,1.67,72.18,9.57,1
13.98,1.63,71.76,10.56,1
13.75,1.36,72.19,11.14,1
13.7,1.36,71.24,13.44,1
13.43,1.18,72.49,8.15,1
13.71,1.54,71.81,8.21,1
13.33,1.25,72.78,8.12,1
13.19,1.3,72.33,8.44,1
13,1.08,73.07,8.38,1
12.89,1.57,72.96,8.11,1
12.79,1.54,73.36,7.9,1
12.87,1.64,73.14,7.99,1
13.33,1.61,72.54,8.11,1
13.2,1.07,72.83,8.41,1
12.85,1.44,73.01,8.23,1
13,1.79,72.72,8.18,1
12.99,1.23,72.97,8.81,1
12.85,1.24,72.57,8.68,1
14.01,3.5,69.89,5.87,2
12.73,1.86,72.69,10.09,2
11.56,1.56,72.86,11.41,2
11.03,1.56,73.44,11.62,2
12.64,1.65,73.75,11.53,2
12.86,1.83,73.88,10.17,2
13.27,1.76,73.03,11.32,2
13.44,1.58,72.22,12.24,2
13.02,3.04,70.48,6.96,2
13,3.02,70.7,6.93,2
13.38,1.4,72.25,12.5,2
12.85,2.17,72.18,9.7,2
12.97,1.51,73.39,11.27,2
14,1.56,72.37,9.57,2
13.79,1.19,72.76,9.77,2
14.46,1.62,72.38,9.26,2
14.09,1.66,72.67,9.32,2
14.4,1.54,74.55,7.59,2
14.99,1.74,72.5,9.95,2
14.15,2.09,72.74,10.88,2
14.56,0.56,73.48,11.22,2
17.38,0.34,75.41,6.65,2
13.69,1.81,72.81,5.43,2
14.32,2.22,71.25,5.79,2
13.44,1.23,72.38,8.83,2
14.86,2.06,70.26,9.76,2
15.79,1.31,70.43,8.61,2
13.88,1.79,73.1,8.67,2
14.85,2.38,73.28,8.76,2
14.2,2.79,73.46,9.04,2
14.75,2,73.02,8.53,2
14.56,1.98,73.29,8.52,2
14.14,2.68,73.39,9.07,2
13.87,2.54,73.23,9.41,2
14.7,2.34,73.28,8.95,2
14.38,2.66,73.1,9.08,2
15.01,2.51,73.05,8.83,2
15.15,2.25,73.5,8.34,2
11.95,1.19,75.18,8.93,2
14.85,2.42,73.72,8.39,2
14.8,1.99,73.11,8.28,2
14.95,2.27,73.3,8.71,2
14.95,1.8,72.99,8.61,2
14.94,1.87,73.11,8.67,2
14.39,1.82,72.86,6.47,2
14.37,2.74,72.85,9.45,2
14.14,2.88,72.61,9.18,2
14.92,1.99,73.06,8.4,2
14.36,2.02,73.42,8.44,2
14.38,1.94,73.61,8.48,2
14.23,2.08,73.36,8.62,2
